	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
141	Surface 27	27840	9.665	1.4033E-15	-1.84	-316.429	-54.5761	2.91862	16.5085	5.87601	0.276354	-0.338586	-2.81777
142	Surface 27	28053	9.665	-7.74887	-0.92	-221.392	-27.1695	-2.82812	17.3497	2.80269	-0.531508	1.24217	-2.66973
143	Surface 27	28060	9.665	4.20989E-15	-0.92	-221.266	-27.1981	2.49377	17.7556	2.80139	0.241751	-0.236393	-2.65742
144	Surface 27	28272	9.665	-7.74887	0.0	-128.413	-4.38243	-2.27646	18.4125	1.41559	-0.493691	2.69142	-2.29798
145	Surface 27	28280	9.665	0.0	0.0	-128.22	-4.37754	1.89567	18.8263	1.41065	0.205677	-0.828247	-2.27202
146	Surface 30	25876	9.665	7.01648E-15	-9.9	-1.04936E3	-322.099	3.15998	-7.64661	-45.977	0.264008	-0.889232	25.5845
147	Surface 30	25882	9.665	6.11244	-9.9	-1.04972E3	-321.754	-3.00823	-8.01473	-46.0498	0.787045	-1.9067	25.4983
148	Surface 30	25889	9.665	12.2246	-9.9	-1.05046E3	-321.014	-5.52769	-9.00478	-46.2735	1.29403	-3.97804	25.5256
149	Surface 30	25897	9.665	18.3371	-9.9	-1.05143E3	-319.449	-0.117861	-10.2459	-46.5473	1.79314	-7.26709	25.3255
150	Surface 30	26164	9.665	7.01648E-15	-8.84	-931.957	-285.088	2.52413	-1.7674	-26.9323	0.260362	-0.803055	19.6593
151	Surface 30	26168	9.665	6.11242	-8.84	-932.421	-284.791	-2.73475	-2.1591	-27.0108	0.78069	-1.8131	19.5828
152	Surface 30	26171	9.665	12.2246	-8.84	-933.143	-284.154	-5.04827	-3.21414	-27.238	1.28026	-3.74535	19.5936
153	Surface 30	26177	9.665	18.3371	-8.84	-934.26	-282.812	-0.977368	-4.52595	-27.5184	1.75769	-6.73932	19.4094
154	Surface 30	26384	9.665	7.01648E-15	-7.78	-837.863	-247.886	2.14147	3.29579	-10.4484	0.257524	-0.73461	12.4868
155	Surface 30	26387	9.665	6.11241	-7.78	-838.431	-247.646	-2.4589	2.88152	-10.5324	0.776796	-1.74951	12.4186
156	Surface 30	26392	9.665	12.2246	-7.78	-839.148	-247.116	-4.57603	1.76363	-10.7649	1.27167	-3.57977	12.4176
157	Surface 30	26396	9.665	18.3371	-7.78	-840.423	-246.022	-1.3137	0.382007	-11.0527	1.7348	-6.34501	12.2474
158	Surface 30	26604	9.665	7.01648E-15	-6.72	-752.619	-211.253	2.05946	6.9317	-0.534797	0.256839	-0.6736	7.25354
159	Surface 30	26608	9.665	6.11241	-6.72	-753.241	-211.065	-2.16287	6.49559	-0.623472	0.774851	-1.69625	7.19091
160	Surface 30	26612	9.665	12.2246	-6.72	-753.983	-210.636	-4.06181	5.31577	-0.862399	1.26785	-3.43865	7.18838
161	Surface 30	26618	9.665	18.3371	-6.72	-755.36	-209.769	-0.906195	3.86398	-1.15717	1.72745	-6.00172	7.02992
162	Surface 30	26822	9.665	7.01648E-15	-5.66	-667.945	-175.11	2.14531	9.71828	5.17363	0.257287	-0.611904	4.55154
163	Surface 30	26827	9.665	6.11242	-5.66	-668.589	-174.965	-1.83312	9.26168	5.08295	0.775506	-1.63961	4.49423
164	Surface 30	26832	9.665	12.2246	-5.66	-669.366	-174.622	-3.48241	8.02205	4.84113	1.26986	-3.29345	4.49901
165	Surface 30	26838	9.665	18.3371	-5.66	-670.808	-173.949	-0.0333581	6.50159	4.54603	1.73378	-5.65506	4.35593
166	Surface 30	27114	9.665	7.01648E-15	-4.6	-579.646	-140.168	2.31822	12.0885	8.5537	0.259098	-0.545466	2.95035
167	Surface 30	27118	9.665	6.11244	-4.6	-580.285	-140.048	-1.47381	11.6133	8.4656	0.782382	-1.57016	2.89957
168	Surface 30	27124	9.665	12.2246	-4.6	-581.104	-139.768	-2.84398	10.3171	8.2287	1.28364	-3.12536	2.91858
169	Surface 30	27135	9.665	18.3371	-4.6	-582.583	-139.241	1.12637	8.73129	7.9461	1.75969	-5.27235	2.79733
170	Surface 31	25897	9.665	18.3371	-9.9	-1.05143E3	-319.449	-0.117861	-10.2459	-46.5473	1.79314	-7.26709	25.3255
171	Surface 31	25909	9.665	20.819	-9.9	-1.05232E3	-318.596	-8.53426	-11.2529	-46.7636	1.89857	-5.93313	25.3029
172	Surface 31	26177	9.665	18.3371	-8.84	-934.26	-282.812	-0.977368	-4.52595	-27.5184	1.75769	-6.73932	19.4094
173	Surface 31	26182	9.665	20.819	-8.84	-935.305	-282.102	-7.8381	-5.58662	-27.7424	1.87732	-5.60458	19.3875
174	Surface 31	26396	9.665	18.3371	-7.78	-840.423	-246.022	-1.3137	0.382007	-11.0527	1.7348	-6.34501	12.2474
175	Surface 31	26403	9.665	20.819	-7.78	-841.612	-245.47	-7.13425	-0.732157	-11.2834	1.86386	-5.36948	12.2245
176	Surface 31	26618	9.665	18.3371	-6.72	-755.36	-209.769	-0.906195	3.86398	-1.15717	1.72745	-6.00172	7.02992
177	Surface 31	26622	9.665	20.819	-6.72	-756.63	-209.358	-6.34798	2.69585	-1.39405	1.85968	-5.16794	7.00525
