	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
107	Surface 17	28031	9.665	-160.983	-0.92	-558.154	-26.6943	-2.52335	3.65574	2.69563	1.20188	-2.07412	-2.93733
108	Surface 17	28245	9.665	-159.181	0.0	-460.17	-3.28075	-1.27953	4.17263	1.36343	1.17541	-4.97721	-2.45002
109	Surface 17	28253	9.665	-160.983	0.0	-458.587	-2.9999	-2.62051	4.65554	1.35862	1.09556	-5.72011	-2.51861
110	Surface 24	27063	9.665	-20.819	-4.6	-896.559	-138.473	3.91822	-1.29364	6.66247	-1.28587	0.461566	4.07804
111	Surface 24	27071	9.665	-19.0166	-4.6	-896.461	-138.577	4.40106	-0.870196	6.7362	-1.18437	2.40503	4.05832
112	Surface 24	27370	9.665	-20.819	-3.68	-822.028	-108.778	3.38534	0.336631	8.95129	-1.31956	0.589178	1.05767
113	Surface 24	27375	9.665	-19.0166	-3.68	-821.893	-108.848	3.97237	0.77854	9.01907	-1.21485	2.37031	1.02792
114	Surface 24	27589	9.665	-20.819	-2.76	-739.937	-80.9108	2.80499	1.48488	8.28259	-1.38239	0.708215	-1.95148
115	Surface 24	27594	9.665	-19.0166	-2.76	-739.828	-80.9843	3.48065	1.94434	8.33963	-1.2723	2.30876	-1.9927
116	Surface 24	27810	9.665	-20.819	-1.84	-651.17	-53.4567	2.14434	2.35175	5.68432	-1.49048	0.812994	-3.09762
117	Surface 24	27814	9.665	-19.0166	-1.84	-650.831	-53.5215	2.94727	2.82748	5.72091	-1.37427	2.2162	-3.15517
118	Surface 24	28029	9.665	-20.819	-0.92	-557.685	-26.5315	1.52005	3.20981	2.68476	-1.35096	0.897134	-2.86468
119	Surface 24	28036	9.665	-19.0166	-0.92	-558.003	-26.6906	2.4883	3.71022	2.6966	-1.24394	2.0866	-2.93258
120	Surface 24	28248	9.665	-20.819	0.0	-459.963	-3.27367	1.25655	4.22545	1.36444	-1.21093	5.10632	-2.44793
121	Surface 24	28255	9.665	-19.0166	0.0	-458.392	-2.99313	2.5989	4.71245	1.35979	-1.13005	5.84393	-2.51729
122	Surface 26	27090	9.665	-13.3169	-4.6	-894.077	-138.951	1.42038	0.278547	6.94533	-0.879294	5.95446	4.16456
123	Surface 26	27104	9.665	-7.74887	-4.6	-892.512	-139.274	-1.5419	0.989128	7.0744	-0.56156	2.67871	4.1986
124	Surface 26	27388	9.665	-13.3169	-3.68	-819.525	-109.178	0.903093	1.98012	9.21775	-0.900694	5.59339	1.1281
125	Surface 26	27394	9.665	-7.74887	-3.68	-817.966	-109.498	-2.08982	2.72533	9.33965	-0.576859	2.52777	1.15048
126	Surface 26	27606	9.665	-13.3169	-2.76	-737.494	-81.3289	0.331021	3.19701	8.51019	-0.94159	5.17339	-1.90553
127	Surface 26	27612	9.665	-7.74887	-2.76	-736.016	-81.7077	-2.6527	3.97447	8.61285	-0.60438	2.34752	-1.90077
128	Surface 26	27827	9.665	-13.3169	-1.84	-648.901	-53.9798	-0.140901	4.12666	5.83591	-1.01802	4.68306	-3.08674
129	Surface 26	27833	9.665	-7.74887	-1.84	-647.614	-54.4738	-3.13133	4.93385	5.89777	-0.653027	2.13888	-3.10899
130	Surface 26	28046	9.665	-13.3169	-0.92	-556.055	-26.8879	-0.336634	5.06294	2.75313	-0.925376	4.16981	-2.84511
131	Surface 26	28053	9.665	-7.74887	-0.92	-555.459	-27.2284	-2.84243	5.90454	2.7692	-0.597316	1.90175	-2.84662
132	Surface 26	28268	9.665	-13.3169	0.0	-462.554	-4.11995	-0.284033	6.05473	1.3847	-0.822552	6.48152	-2.40159
133	Surface 26	28272	9.665	-7.74887	0.0	-464.128	-4.54995	-2.27264	6.88124	1.37542	-0.534427	3.48246	-2.36052
134	Surface 27	27104	9.665	-7.74887	-4.6	-892.512	-139.274	-1.5419	0.989128	7.0744	-0.56156	2.67871	4.1986
135	Surface 27	27114	9.665	7.01648E-15	-4.6	-892.082	-139.45	2.19673	1.3347	7.1366	-0.0308141	-0.639616	4.21943
136	Surface 27	27394	9.665	-7.74887	-3.68	-817.966	-109.498	-2.08982	2.72533	9.33965	-0.576859	2.52777	1.15048
137	Surface 27	27400	9.665	4.20989E-15	-3.68	-817.525	-109.665	2.37717	3.08736	9.39758	-0.0285853	-0.579204	1.16155
138	Surface 27	27612	9.665	-7.74887	-2.76	-736.016	-81.7077	-2.6527	3.97447	8.61285	-0.60438	2.34752	-1.90077
