	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
123	Surface 26	27104	9.665	-7.74887	-4.6	-892.684	-139.376	-1.42549	0.66008	7.02549	-0.609788	2.68558	4.18301
124	Surface 26	27388	9.665	-13.3169	-3.68	-819.725	-109.27	1.03074	1.62781	9.1692	-0.940839	5.59405	1.11245
125	Surface 26	27394	9.665	-7.74887	-3.68	-818.147	-109.577	-1.98888	2.38415	9.2892	-0.628562	2.54038	1.14129
126	Surface 26	27606	9.665	-13.3169	-2.76	-737.705	-81.3944	0.438747	2.83056	8.4636	-0.984117	5.18068	-1.91247
127	Surface 26	27612	9.665	-7.74887	-2.76	-736.199	-81.764	-2.57258	3.62317	8.56696	-0.658057	2.36517	-1.90211
128	Surface 26	27827	9.665	-13.3169	-1.84	-649.106	-54.0193	-0.0627993	3.74813	5.79982	-1.06141	4.69563	-3.08357
129	Surface 26	27833	9.665	-7.74887	-1.84	-647.781	-54.5078	-3.07861	4.57411	5.8638	-0.707862	2.1602	-3.10207
130	Surface 26	28046	9.665	-13.3169	-0.92	-556.218	-26.9069	-0.2969	4.67331	2.73378	-0.96169	4.18523	-2.83582
131	Surface 26	28053	9.665	-7.74887	-0.92	-555.577	-27.2452	-2.82011	5.53698	2.75166	-0.643787	1.92486	-2.83603
132	Surface 26	28268	9.665	-13.3169	0.0	-462.605	-4.11494	-0.267401	5.6636	1.37528	-0.852329	6.59365	-2.39141
133	Surface 26	28272	9.665	-7.74887	0.0	-464.134	-4.54453	-2.26687	6.51309	1.36707	-0.573042	3.63222	-2.35027
134	Surface 27	27104	9.665	-7.74887	-4.6	-892.684	-139.376	-1.42549	0.66008	7.02549	-0.609788	2.68558	4.18301
135	Surface 27	27114	9.665	7.01648E-15	-4.6	-892.236	-139.53	2.28896	1.02562	7.08516	-0.0908246	-0.619829	4.21076
136	Surface 27	27394	9.665	-7.74887	-3.68	-818.147	-109.577	-1.98888	2.38415	9.2892	-0.628562	2.54038	1.14129
137	Surface 27	27400	9.665	4.20989E-15	-3.68	-817.681	-109.726	2.45209	2.77035	9.34764	-0.0910933	-0.555069	1.15859
138	Surface 27	27612	9.665	-7.74887	-2.76	-736.199	-81.764	-2.57258	3.62317	8.56696	-0.658057	2.36517	-1.90211
139	Surface 27	27619	9.665	1.4033E-15	-2.76	-735.734	-81.8799	2.62217	4.02748	8.61329	-0.0910739	-0.487974	-1.89876
140	Surface 27	27833	9.665	-7.74887	-1.84	-647.781	-54.5078	-3.07861	4.57411	5.8638	-0.707862	2.1602	-3.10207
141	Surface 27	27840	9.665	1.4033E-15	-1.84	-647.436	-54.5634	2.78177	4.99562	5.88622	-0.0939982	-0.419827	-3.10568
142	Surface 27	28053	9.665	-7.74887	-0.92	-555.577	-27.2452	-2.82011	5.53698	2.75166	-0.643787	1.92486	-2.83603
143	Surface 27	28060	9.665	4.20989E-15	-0.92	-555.369	-27.2618	2.37374	5.98084	2.75531	-0.0767004	-0.324301	-2.82632
144	Surface 27	28272	9.665	-7.74887	0.0	-464.134	-4.54453	-2.26687	6.51309	1.36707	-0.573042	3.63222	-2.35027
145	Surface 27	28280	9.665	0.0	0.0	-463.913	-4.54097	1.79946	6.96506	1.36536	-0.0624326	-0.0423043	-2.32721
146	Surface 30	25876	9.665	7.01648E-15	-9.9	-1.33665E3	-318.996	3.87833	-19.55	-58.107	-0.0243437	-1.02706	29.6364
147	Surface 30	25882	9.665	6.11244	-9.9	-1.33696E3	-318.642	-1.45207	-19.6452	-58.1397	0.335144	-1.84227	29.5733
148	Surface 30	25889	9.665	12.2246	-9.9	-1.33752E3	-318.176	-3.0919	-20.0582	-58.2547	0.701674	-4.08171	29.6291
149	Surface 30	25897	9.665	18.3371	-9.9	-1.3384E3	-317.072	3.34106	-20.6463	-58.3905	1.09754	-7.99129	29.4726
150	Surface 30	26164	9.665	7.01648E-15	-8.84	-1.21669E3	-282.143	3.03707	-13.1886	-35.7421	-0.0458242	-0.92033	22.8858
151	Surface 30	26168	9.665	6.11242	-8.84	-1.21712E3	-281.816	-1.32945	-13.2862	-35.7753	0.319666	-1.72093	22.8337
152	Surface 30	26171	9.665	12.2246	-8.84	-1.21766E3	-281.39	-2.8533	-13.7372	-35.8884	0.68499	-3.81198	22.8687
153	Surface 30	26177	9.665	18.3371	-8.84	-1.21872E3	-280.413	1.8152	-14.3685	-36.0279	1.05941	-7.41542	22.7282
154	Surface 30	26384	9.665	7.01648E-15	-7.78	-1.12599E3	-245.606	2.46335	-7.79192	-16.3707	-0.065125	-0.835771	14.3923
155	Surface 30	26387	9.665	6.11241	-7.78	-1.12654E3	-245.317	-1.22244	-7.89205	-16.4036	0.307299	-1.6381	14.349
156	Surface 30	26392	9.665	12.2246	-7.78	-1.12706E3	-244.932	-2.63462	-8.3806	-16.517	0.673429	-3.62765	14.3678
157	Surface 30	26396	9.665	18.3371	-7.78	-1.1283E3	-244.105	0.889563	-9.05619	-16.6619	1.03381	-7.00814	14.2399
158	Surface 30	26604	9.665	7.01648E-15	-6.72	-1.04738E3	-209.59	2.23642	-4.07971	-4.70139	-0.0784408	-0.76238	8.35724
159	Surface 30	26608	9.665	6.11241	-6.72	-1.048E3	-209.344	-1.10346	-4.18345	-4.73309	0.298195	-1.57156	8.31838
