	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
127	Surface 26	27612	9.665	-7.74887	-2.76	-418.316	-81.2601	-4.09278	-1.38352	6.37247	0.22083	0.361255	-1.79914
128	Surface 26	27827	9.665	-13.3169	-1.84	-325.784	-53.8471	-1.1788	9.48358E-3	4.36597	0.229045	1.27391	-2.53942
129	Surface 26	27833	9.665	-7.74887	-1.84	-325.699	-54.3517	-4.01197	-0.634375	4.29208	0.256121	0.151628	-2.54374
130	Surface 26	28046	9.665	-13.3169	-0.92	-229.523	-26.8846	-0.722689	0.768788	2.04937	0.211618	0.756912	-2.29856
131	Surface 26	28053	9.665	-7.74887	-0.92	-230.104	-27.2495	-3.21676	0.127359	1.99826	0.233059	-0.0807886	-2.26321
132	Surface 26	28268	9.665	-13.3169	0.0	-132.578	-3.77773	-0.345092	1.76173	1.06763	0.203159	-0.402252	-1.97329
133	Surface 26	28272	9.665	-7.74887	0.0	-135.237	-4.21367	-2.39398	1.09894	1.03239	0.217367	-1.02087	-1.88829
134	Surface 27	27104	9.665	-7.74887	-4.6	-587.266	-137.511	-4.01799	-3.6146	5.71923	0.176315	0.746135	2.61537
135	Surface 27	27114	9.665	7.01648E-15	-4.6	-587.442	-137.52	1.19022	-4.39747	5.59555	0.30413	-1.14672	2.6172
136	Surface 27	27394	9.665	-7.74887	-3.68	-505.792	-108.524	-4.07267	-2.32491	7.12542	0.194461	0.561003	0.317092
137	Surface 27	27400	9.665	4.20989E-15	-3.68	-506.006	-108.601	1.61906	-3.11827	7.01565	0.329004	-1.08565	0.321749
138	Surface 27	27612	9.665	-7.74887	-2.76	-418.316	-81.2601	-4.09278	-1.38352	6.37247	0.22083	0.361255	-1.79914
139	Surface 27	27619	9.665	1.4033E-15	-2.76	-418.58	-81.3505	2.05944	-2.18827	6.27998	0.365437	-1.01526	-1.79059
140	Surface 27	27833	9.665	-7.74887	-1.84	-325.699	-54.3517	-4.01197	-0.634375	4.29208	0.256121	0.151628	-2.54374
141	Surface 27	27840	9.665	1.4033E-15	-1.84	-326.105	-54.4065	2.51039	-1.44973	4.22283	0.418822	-0.934839	-2.52311
142	Surface 27	28053	9.665	-7.74887	-0.92	-230.104	-27.2495	-3.21676	0.127359	1.99826	0.233059	-0.0807886	-2.26321
143	Surface 27	28060	9.665	4.20989E-15	-0.92	-230.605	-27.2757	2.34076	-0.694473	1.95877	0.403684	-0.819533	-2.2261
144	Surface 27	28272	9.665	-7.74887	0.0	-135.237	-4.21367	-2.39398	1.09894	1.03239	0.217367	-1.02087	-1.88829
145	Surface 27	28280	9.665	0.0	0.0	-135.532	-4.19356	1.86629	0.278818	1.00964	0.383403	-2.06224	-1.84383
