	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
147	Surface 30	25882	9.665	6.11244	-9.9	-953.283	-308.31	0.0586738	-20.1868	-45.5197	0.024379	-1.01724	23.383
148	Surface 30	25889	9.665	12.2246	-9.9	-953.503	-308.41	0.0850043	-20.0758	-45.5032	0.0266352	-2.33205	23.4533
149	Surface 30	25897	9.665	18.3371	-9.9	-953.891	-308.327	7.44861	-19.9832	-45.4737	0.108609	-4.8701	23.3673
150	Surface 30	26164	9.665	7.01648E-15	-8.84	-836.224	-273.82	2.72891	-15.2956	-27.7475	0.0410064	-0.635568	17.8812
151	Surface 30	26168	9.665	6.11242	-8.84	-836.451	-273.712	0.0428257	-15.2534	-27.7362	0.0223874	-0.886134	17.8383
152	Surface 30	26171	9.665	12.2246	-8.84	-836.647	-273.767	0.0580515	-15.1537	-27.7179	0.0254584	-2.0376	17.8921
153	Surface 30	26177	9.665	18.3371	-8.84	-837.148	-273.663	6.02589	-15.0685	-27.6919	0.092668	-4.26229	17.8157
154	Surface 30	26384	9.665	7.01648E-15	-7.78	-740.88	-239.125	2.32176	-11.0976	-12.3075	0.0357015	-0.55759	11.2373
155	Surface 30	26387	9.665	6.11241	-7.78	-741.195	-239.025	0.0278151	-11.0574	-12.2975	0.0221814	-0.784602	11.1992
156	Surface 30	26392	9.665	12.2246	-7.78	-741.366	-239.027	0.0341781	-10.969	-12.2803	0.026106	-1.80694	11.2408
157	Surface 30	26396	9.665	18.3371	-7.78	-741.973	-238.903	5.11144	-10.8921	-12.2601	0.0833136	-3.77937	11.1714
158	Surface 30	26604	9.665	7.01648E-15	-6.72	-653.525	-204.74	2.20025	-8.21798	-2.99031	0.0344866	-0.488335	6.33223
159	Surface 30	26608	9.665	6.11241	-6.72	-653.879	-204.65	0.0206076	-8.18075	-2.98208	0.0221391	-0.694596	6.2958
160	Surface 30	26612	9.665	12.2246	-6.72	-654.045	-204.609	0.0241215	-8.10406	-2.96833	0.0261699	-1.60061	6.33351
161	Surface 30	26618	9.665	18.3371	-6.72	-654.694	-204.471	4.85688	-8.03706	-2.95486	0.080606	-3.34463	6.26691
162	Surface 30	26822	9.665	7.01648E-15	-5.66	-566.384	-170.577	2.23924	-6.13869	2.32404	0.0357236	-0.420444	3.68787
163	Surface 30	26827	9.665	6.11242	-5.66	-566.742	-170.495	0.0263345	-6.10478	2.33087	0.02142	-0.604639	3.65171
164	Surface 30	26832	9.665	12.2246	-5.66	-566.9	-170.414	0.0355365	-6.03936	2.34074	0.0245579	-1.39426	3.69128
165	Surface 30	26838	9.665	18.3371	-5.66	-567.543	-170.258	4.98097	-5.98229	2.34864	0.0802137	-2.91028	3.62644
166	Surface 30	27114	9.665	7.01648E-15	-4.6	-475.558	-137.258	2.36173	-4.46391	5.37781	0.038487	-0.350491	2.14701
167	Surface 30	27118	9.665	6.11244	-4.6	-475.89	-137.175	0.0436068	-4.43313	5.38406	0.0202975	-0.507871	2.11083
168	Surface 30	27124	9.665	12.2246	-4.6	-476.037	-137.052	0.0656307	-4.37735	5.39091	0.0219791	-1.17373	2.15534
169	Surface 30	27135	9.665	18.3371	-4.6	-476.633	-136.866	5.31118	-4.32861	5.3961	0.0812819	-2.45053	2.09263
170	Surface 31	25897	9.665	18.3371	-9.9	-953.891	-308.327	7.44861	-19.9832	-45.4737	0.108609	-4.8701	23.3673
171	Surface 31	25909	9.665	20.819	-9.9	-954.227	-308.188	0.286967	-19.9319	-45.4554	0.0245125	-3.39757	23.3357
