	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
162	Surface 30	26822	9.665	7.01648E-15	-5.66	-566.385	-170.575	2.23926	-6.14029	2.32383	0.0357045	-0.420453	3.68778
163	Surface 30	26827	9.665	6.11242	-5.66	-566.743	-170.493	0.0265136	-6.10635	2.33066	0.0213732	-0.604572	3.65162
164	Surface 30	26832	9.665	12.2246	-5.66	-566.901	-170.412	0.0358503	-6.04082	2.34056	0.0244872	-1.39412	3.6912
165	Surface 30	26838	9.665	18.3371	-5.66	-567.544	-170.257	4.9814	-5.98362	2.34849	0.0801251	-2.9101	3.62636
166	Surface 30	27114	9.665	7.01648E-15	-4.6	-475.559	-137.258	2.36176	-4.46555	5.37755	0.0384697	-0.350497	2.14697
167	Surface 30	27118	9.665	6.11244	-4.6	-475.891	-137.174	0.0437599	-4.43475	5.38381	0.020251	-0.507801	2.11078
168	Surface 30	27124	9.665	12.2246	-4.6	-476.038	-137.051	0.0658927	-4.37886	5.39068	0.0219073	-1.17359	2.1553
169	Surface 30	27135	9.665	18.3371	-4.6	-476.634	-136.865	5.31154	-4.32997	5.39589	0.0811907	-2.45035	2.09259
170	Surface 31	25897	9.665	18.3371	-9.9	-953.89	-308.324	7.44923	-19.9843	-45.4735	0.108513	-4.86993	23.3672
171	Surface 31	25909	9.665	20.819	-9.9	-954.226	-308.184	0.287738	-19.9329	-45.4551	0.0244117	-3.39737	23.3357
