	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
114	Surface 24	27589	9.665	-20.819	-2.76	-427.74	-101.796	17.3117	-2.76026	5.98498	-1.43879	-0.162612	-2.56785
115	Surface 24	27594	9.665	-19.0166	-2.76	-428.024	-97.6707	15.5162	-2.56954	5.87739	-1.41092	0.954165	-2.31939
116	Surface 24	27810	9.665	-20.819	-1.84	-338.914	-65.507	14.1113	-2.08913	3.64457	-1.60432	1.03635	-2.70669
117	Surface 24	27814	9.665	-19.0166	-1.84	-336.253	-62.8259	11.937	-1.71224	3.64378	-1.54033	1.74214	-2.49813
118	Surface 24	28029	9.665	-20.819	-0.92	-232.537	-31.1516	6.04974	-0.991238	1.54112	-1.36087	1.58929	-1.85763
119	Surface 24	28036	9.665	-19.0166	-0.92	-229.959	-30.1972	5.53334	-0.512416	1.58666	-1.2887	1.87277	-1.85522
120	Surface 24	28248	9.665	-20.819	0.0	-100.052	-0.565245	2.00231	0.644941	0.858789	-1.12693	4.83318	-1.3911
121	Surface 24	28255	9.665	-19.0166	0.0	-99.5849	-0.427998	3.00437	1.02509	0.878731	-1.07802	4.83985	-1.51048
122	Surface 26	27090	9.665	-13.3169	-4.6	-591.282	-154.398	6.83943	-4.20719	5.47761	-0.887057	3.04744	2.33276
123	Surface 26	27104	9.665	-7.74887	-4.6	-590.697	-147.84	1.29158	-4.04779	5.16797	-0.800444	1.44073	2.62576
124	Surface 26	27388	9.665	-13.3169	-3.68	-511.196	-121.43	6.76716	-2.92522	6.63915	-1.12841	2.98343	0.155327
125	Surface 26	27394	9.665	-7.74887	-3.68	-509.543	-115.763	0.118762	-2.53122	6.46874	-0.923603	1.52114	0.546337
126	Surface 26	27606	9.665	-13.3169	-2.76	-424.354	-89.3842	5.21081	-1.79855	5.73777	-1.26554	2.99372	-1.61781
127	Surface 26	27612	9.665	-7.74887	-2.76	-421.182	-85.5008	-1.7744	-1.1948	5.76156	-0.949903	1.55827	-1.27084
128	Surface 26	27827	9.665	-13.3169	-1.84	-329.093	-58.0416	2.13743	-0.633917	3.75955	-1.27427	2.82861	-1.93911
129	Surface 26	27833	9.665	-7.74887	-1.84	-325.109	-56.2555	-3.94441	0.0846637	3.90163	-0.904401	1.42656	-1.82052
130	Surface 26	28046	9.665	-13.3169	-0.92	-223.735	-28.296	-0.406929	0.693255	1.75819	-1.0339	2.24592	-1.65612
131	Surface 26	28053	9.665	-7.74887	-0.92	-222.509	-27.8119	-4.29027	1.42434	1.86914	-0.729821	1.06738	-1.71276
132	Surface 26	28268	9.665	-13.3169	0.0	-111.329	-2.48244	-0.874508	2.06267	0.973865	-0.844364	4.26358	-1.47773
133	Surface 26	28272	9.665	-7.74887	0.0	-117.978	-3.30865	-3.36459	2.67941	1.0151	-0.602919	2.71597	-1.54534
134	Surface 27	27104	9.665	-7.74887	-4.6	-590.697	-147.84	1.29158	-4.04779	5.16797	-0.800444	1.44073	2.62576
135	Surface 27	27114	9.665	7.01648E-15	-4.6	-589.694	-142.134	3.58209	-3.80368	4.99535	-0.404043	-0.291493	2.91731
136	Surface 27	27394	9.665	-7.74887	-3.68	-509.543	-115.763	0.118762	-2.53122	6.46874	-0.923603	1.52114	0.546337
137	Surface 27	27400	9.665	4.20989E-15	-3.68	-507.765	-111.374	2.76742	-2.14231	6.46515	-0.404032	-0.0970259	0.825143
138	Surface 27	27612	9.665	-7.74887	-2.76	-421.182	-85.5008	-1.7744	-1.1948	5.76156	-0.949903	1.55827	-1.27084
139	Surface 27	27619	9.665	1.4033E-15	-2.76	-418.785	-82.6679	1.86748	-0.727274	5.90299	-0.342492	0.0333418	-1.12521
140	Surface 27	27833	9.665	-7.74887	-1.84	-325.109	-56.2555	-3.94441	0.0846637	3.90163	-0.904401	1.42656	-1.82052
141	Surface 27	27840	9.665	1.4033E-15	-1.84	-323.173	-54.8091	1.27693	0.545051	4.07636	-0.258925	0.0594447	-1.86741
142	Surface 27	28053	9.665	-7.74887	-0.92	-222.509	-27.8119	-4.29027	1.42434	1.86914	-0.729821	1.06738	-1.71276
143	Surface 27	28060	9.665	4.20989E-15	-0.92	-222.878	-27.2944	1.12067	1.82367	1.97028	-0.167542	0.0369628	-1.83845
