	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
119	Surface 24	28036	9.665	-19.0166	-0.92	-231.492	-26.7007	2.14811	-2.4211	1.93184	4.43033E-3	0.203606	-2.32918
120	Surface 24	28248	9.665	-20.819	0.0	-129.217	-2.87001	1.23602	-1.38871	1.03159	-8.59527E-3	-0.131999	-1.98421
121	Surface 24	28255	9.665	-19.0166	0.0	-127.792	-2.56975	2.64491	-1.40649	1.02729	9.43081E-3	0.182375	-2.03623
122	Surface 26	27090	9.665	-13.3169	-4.6	-589.196	-137.007	-0.841905	-5.97151	5.31386	0.319501E-3	3.17713	2.58969
123	Surface 26	27104	9.665	-7.74887	-4.6	-588.385	-137.178	-3.10355	-6.01035	5.3105	-0.0331906	1.35636	2.5906
124	Surface 26	27388	9.665	-13.3169	-3.68	-507.74	-108.108	-0.939895	-4.73702	6.757	2.5044E-3	2.74639	0.315837
125	Surface 26	27394	9.665	-7.74887	-3.68	-507.001	-108.341	-3.37559	-4.77225	6.7545	-0.0338691	1.17091	0.313409
126	Surface 26	27606	9.665	-13.3169	-2.76	-420.199	-80.838	-1.04193	-3.84739	6.06853	2.17426E-3	2.27565	-1.76683
127	Surface 26	27612	9.665	-7.74887	-2.76	-419.597	-81.1816	-3.62053	-3.88065	6.06375	-0.0368874	0.965387	-1.77476
128	Surface 26	27827	9.665	-13.3169	-1.84	-327.363	-53.839	-0.988731	-3.14723	4.09454	-6.56454E-3	1.75832	-2.4696
129	Surface 26	27833	9.665	-7.74887	-1.84	-326.992	-54.339	-3.76513	-3.17982	4.0776	-0.0470076	0.74346	-2.48813
130	Surface 26	28046	9.665	-13.3169	-0.92	-230.939	-26.9065	-0.67363	-2.44837	1.91367	-0.0190074	1.22489	-2.21588
131	Surface 26	28053	9.665	-7.74887	-0.92	-231.284	-27.2654	-3.1502	-2.47024	1.89207	-0.0605662	0.495091	-2.19878
132	Surface 26	28268	9.665	-13.3169	0.0	-133.5	-3.73384	-0.355677	-1.46309	1.00536	-0.0204351	0.83276	-1.8963
133	Surface 26	28272	9.665	-7.74887	0.0	-136.046	-4.18098	-2.40438	-1.50702	0.982726	-0.0642731	0.52236	-1.8305
134	Surface 27	27104	9.665	-7.74887	-4.6	-588.385	-137.178	-3.10355	-6.01035	5.3105	-0.0331906	1.35636	2.5906
135	Surface 27	27114	9.665	7.01648E-15	-4.6	-588.208	-137.276	2.27008	-6.01804	5.31309	0.0399118	-0.444737	2.59482
136	Surface 27	27394	9.665	-7.74887	-3.68	-507.001	-108.341	-3.37559	-4.77225	6.7545	-0.0338691	1.17091	0.313409
137	Surface 27	27400	9.665	4.20989E-15	-3.68	-506.839	-108.463	2.44596	-4.77957	6.75647	0.0433501	-0.38324	0.31244
138	Surface 27	27612	9.665	-7.74887	-2.76	-419.597	-81.1816	-3.62053	-3.88065	6.06375	-0.0368874	0.965387	-1.77476
139	Surface 27	27619	9.665	1.4033E-15	-2.76	-419.471	-81.2889	2.62555	-3.88917	6.05983	0.0459695	-0.318724	-1.78178
140	Surface 27	27833	9.665	-7.74887	-1.84	-326.992	-54.339	-3.76513	-3.17982	4.0776	-0.0470076	0.74346	-2.48813
141	Surface 27	27840	9.665	1.4033E-15	-1.84	-327.018	-54.3932	2.81696	-3.18907	4.06422	0.0471892	-0.251934	-2.49141
142	Surface 27	28053	9.665	-7.74887	-0.92	-231.284	-27.2654	-3.1502	-2.47024	1.89207	-0.0605662	0.495091	-2.19878
143	Surface 27	28060	9.665	4.20989E-15	-0.92	-231.462	-27.2842	2.43719	-2.47449	1.87781	0.0475559	-0.152936	-2.18159
144	Surface 27	28272	9.665	-7.74887	0.0	-136.046	-4.18098	-2.40438	-1.50702	0.982726	-0.0642731	0.52236	-1.8305
145	Surface 27	28280	9.665	0.0	0.0	-136.168	-4.17324	1.86979	-1.50738	0.972267	0.0456275	-0.24245	-1.79897
146	Surface 30	25876	9.665	7.01648E-15	-9.9	-1.05567E3	-308.668	3.37502	-22.3687	-49.2908	0.0564027	-0.818988	25.0159
147	Surface 30	25882	9.665	6.11244	-9.9	-1.05584E3	-308.549	0.063836	-22.3211	-49.2783	0.0272071	-1.133	24.9656
148	Surface 30	25889	9.665	12.2246	-9.9	-1.05609E3	-308.666	0.11449	-22.1932	-49.2596	0.0256818	-2.59411	25.0368
149	Surface 30	25897	9.665	18.3371	-9.9	-1.05654E3	-308.589	7.57953	-22.0829	-49.2262	0.105365	-5.41967	24.9501
150	Surface 30	26164	9.665	7.01648E-15	-8.84	-938.359	-273.892	2.69939	-17.1917	-30.2872	0.0465245	-0.722757	19.1006
151	Surface 30	26168	9.665	6.11242	-8.84	-938.63	-273.775	0.0520989	-17.1453	-30.2759	0.024173	-1.00138	19.0578
152	Surface 30	26171	9.665	12.2246	-8.84	-938.855	-273.844	0.0886922	-17.0284	-30.2553	0.0235772	-2.29824	19.1117
153	Surface 30	26177	9.665	18.3371	-8.84	-939.433	-273.743	6.03675	-16.9249	-30.2257	0.087268	-4.80913	19.0361
154	Surface 30	26384	9.665	7.01648E-15	-7.78	-844.563	-239.161	2.25796	-12.8144	-13.8246	0.0395398	-0.645678	11.9376
155	Surface 30	26387	9.665	6.11241	-7.78	-844.929	-239.053	0.038691	-12.7699	-13.8147	0.0228342	-0.901407	11.9006
156	Surface 30	26392	9.665	12.2246	-7.78	-845.126	-239.065	0.0634976	-12.6638	-13.7951	0.0232158	-2.07126	11.9415
157	Surface 30	26396	9.665	18.3371	-7.78	-845.822	-238.941	5.03161	-12.568	-13.7714	0.0759505	-4.33404	11.874
158	Surface 30	26604	9.665	7.01648E-15	-6.72	-759.76	-204.758	2.11778	-9.85467	-3.92077	0.0370895	-0.578072	6.72936
159	Surface 30	26608	9.665	6.11241	-6.72	-760.17	-204.66	0.0306786	-9.81294	-3.9123	0.0218339	-0.814125	6.69429
160	Surface 30	26612	9.665	12.2246	-6.72	-760.361	-204.627	0.0499664	-9.71824	-3.89595	0.0223763	-1.87139	6.73094
161	Surface 30	26618	9.665	18.3371	-6.72	-761.109	-204.488	4.72548	-9.63188	-3.87909	0.0718118	-3.91287	6.66675
162	Surface 30	26822	9.665	7.01648E-15	-5.66	-675.707	-170.582	2.14732	-7.73378	1.82046	0.0375316	-0.512285	4.08672
163	Surface 30	26827	9.665	6.11242	-5.66	-676.125	-170.492	0.0347727	-7.69522	1.82781	0.0203753	-0.727533	4.05207
