	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
118	Surface 24	28029	9.665	-20.819	-0.92	-225.366	-25.937	1.51108	19.7268	2.88508	0.650276	0.919458	-2.98794
119	Surface 24	28036	9.665	-19.0166	-0.92	-225.794	-26.1466	2.63027	20.1152	2.89256	0.77426	1.29096	-3.04761
120	Surface 24	28248	9.665	-20.819	0.0	-130.789	-3.44799	1.41607	20.7039	1.46643	0.41232	-0.113176	-2.57528
121	Surface 24	28255	9.665	-19.0166	0.0	-129.279	-3.18637	2.79587	21.0806	1.46794	0.517104	-0.255564	-2.62469
122	Surface 26	27090	9.665	-13.3169	-4.6	-578.772	-136.366	0.728977	16.3729	9.4511	1.47993	3.61721	2.5533
123	Surface 26	27104	9.665	-7.74887	-4.6	-578.113	-137.89	-2.09461	16.2506	9.46646	1.74676	0.952227	2.50153
124	Surface 26	27388	9.665	-13.3169	-3.68	-497.163	-107.285	0.634286	17.867	10.4362	1.48144	3.13568	0.0226888
125	Surface 26	27394	9.665	-7.74887	-3.68	-496.538	-108.479	-2.14372	17.733	10.4197	1.74448	0.74795	-0.013956
126	Surface 26	27606	9.665	-13.3169	-2.76	-409.884	-80.0397	0.452968	18.9686	9.0494	1.45431	2.63571	-2.33389
127	Surface 26	27612	9.665	-7.74887	-2.76	-409.32	-80.9878	-2.25882	18.8322	9.01171	1.73795	0.548787	-2.35558
128	Surface 26	27827	9.665	-13.3169	-1.84	-318.249	-53.2118	0.321928	19.8522	6.1105	1.40082	2.11505	-3.26924
129	Surface 26	27833	9.665	-7.74887	-1.84	-317.761	-54.0105	-2.39314	19.7222	6.05714	1.7361	0.358619	-3.28208
130	Surface 26	28046	9.665	-13.3169	-0.92	-224.809	-26.4933	0.203059	20.7694	2.88264	1.11843	1.60949	-2.97137
131	Surface 26	28053	9.665	-7.74887	-0.92	-224.677	-26.9609	-2.1168	20.6597	2.83523	1.44528	0.155552	-2.9407
132	Surface 26	28268	9.665	-13.3169	0.0	-133.49	-4.2326	0.166462	21.7179	1.44176	0.85818	-1.54963	-2.51301
133	Surface 26	28272	9.665	-7.74887	0.0	-134.81	-4.63578	-1.71834	21.6011	1.4035	1.16845	-3.84686	-2.43574
134	Surface 27	27104	9.665	-7.74887	-4.6	-578.113	-137.89	-2.09461	16.2506	9.46646	1.74676	0.952227	2.50153
135	Surface 27	27114	9.665	7.01648E-15	-4.6	-578.515	-139.321	2.23053	15.2387	9.28886	2.18085	-1.76238	2.47929
136	Surface 27	27394	9.665	-7.74887	-3.68	-496.538	-108.479	-2.14372	17.733	10.4197	1.74448	0.74795	-0.013956
137	Surface 27	27400	9.665	4.20989E-15	-3.68	-496.889	-109.562	2.8779	16.7084	10.2418	2.1908	-1.69644	-5.36852E-3
138	Surface 27	27612	9.665	-7.74887	-2.76	-409.32	-80.9878	-2.25882	18.8322	9.01171	1.73795	0.548787	-2.35558
139	Surface 27	27619	9.665	1.4033E-15	-2.76	-409.586	-81.7274	3.41079	17.8062	8.85697	2.22566	-1.59884	-2.31558
140	Surface 27	27833	9.665	-7.74887	-1.84	-317.761	-54.0105	-2.39314	19.7222	6.05714	1.7361	0.358619	-3.28208
141	Surface 27	27840	9.665	1.4033E-15	-1.84	-317.935	-54.4214	3.78018	18.7046	5.94729	2.30077	-1.47202	-3.21274
142	Surface 27	28053	9.665	-7.74887	-0.92	-224.677	-26.9609	-2.1168	20.6597	2.83523	1.44528	0.155552	-2.9407
143	Surface 27	28060	9.665	4.20989E-15	-0.92	-224.542	-27.1364	3.20026	19.6609	2.77876	1.99957	-1.31932	-2.86395
144	Surface 27	28272	9.665	-7.74887	0.0	-134.81	-4.63578	-1.71834	21.6011	1.4035	1.16845	-3.84686	-2.43574
145	Surface 27	28280	9.665	0.0	0.0	-133.803	-4.60207	2.38068	20.6183	1.37371	1.69653	-6.84417	-2.36439
146	Surface 30	25876	9.665	7.01648E-15	-9.9	-1.04641E3	-319.335	0.582216	-3.27791	-44.7633	2.08586	-1.77356	25.5586
147	Surface 30	25882	9.665	6.11244	-9.9	-1.0474E3	-320.451	-5.24743	-4.75603	-44.9833	2.4847	-2.97672	25.3793
148	Surface 30	25889	9.665	12.2246	-9.9	-1.0488E3	-320.783	-7.56598	-6.91742	-45.4119	2.8247	-5.1554	25.3368
149	Surface 30	25897	9.665	18.3371	-9.9	-1.05033E3	-319.91	-2.06722	-9.20284	-45.9025	3.13656	-8.49311	25.0816
150	Surface 30	26164	9.665	7.01648E-15	-8.84	-929.339	-282.67	0.296452	2.46589	-25.6961	2.13319	-1.78551	19.5368
151	Surface 30	26168	9.665	6.11242	-8.84	-930.473	-283.727	-4.58731	0.888817	-25.9585	2.4947	-2.95689	19.3773
152	Surface 30	26171	9.665	12.2246	-8.84	-931.855	-284.072	-6.68884	-1.38674	-26.4181	2.80099	-4.97619	19.3298
153	Surface 30	26177	9.665	18.3371	-8.84	-933.529	-283.36	-2.52818	-3.77392	-26.9342	3.07446	-8.00444	19.1041
154	Surface 30	26384	9.665	7.01648E-15	-7.78	-835.579	-245.883	0.47351	7.33518	-9.2395	2.16442	-1.80462	12.2607
155	Surface 30	26387	9.665	6.11241	-7.78	-836.829	-246.846	-3.76136	5.6719	-9.54374	2.49138	-2.95396	12.1245
156	Surface 30	26392	9.665	12.2246	-7.78	-838.196	-247.179	-5.69541	3.29582	-10.0337	2.76879	-4.85006	12.081
157	Surface 30	26396	9.665	18.3371	-7.78	-840.011	-246.634	-2.37337	0.8173	-10.5726	3.01366	-7.63511	11.8865
158	Surface 30	26604	9.665	7.01648E-15	-6.72	-750.67	-209.659	0.948334	10.7202	0.577363	2.17884	-1.81445	6.93362
159	Surface 30	26608	9.665	6.11241	-6.72	-751.966	-210.505	-2.93139	8.98544	0.240409	2.4765	-2.94337	6.82177
160	Surface 30	26612	9.665	12.2246	-6.72	-753.339	-210.808	-4.68377	6.52248	-0.271603	2.73325	-4.7306	6.79545
161	Surface 30	26618	9.665	18.3371	-6.72	-755.234	-210.402	-1.50358	3.96253	-0.823315	2.96477	-7.29996	6.63195
162	Surface 30	26822	9.665	7.01648E-15	-5.66	-666.359	-173.907	1.57158	13.2066	6.1236	2.18108	-1.80304	4.14745
163	Surface 30	26827	9.665	6.11242	-5.66	-667.658	-174.61	-2.09334	11.4166	5.76909	2.45778	-2.90804	4.06368
164	Surface 30	26832	9.665	12.2246	-5.66	-669.037	-174.862	-3.63541	8.88161	5.25191	2.70312	-4.58671	4.06664
165	Surface 30	26838	9.665	18.3371	-5.66	-670.972	-174.56	-0.199384	6.25176	4.70726	2.93376	-6.94276	3.94028
166	Surface 30	27114	9.665	7.01648E-15	-4.6	-578.515	-139.321	2.23053	15.2387	9.28886	2.18085	-1.76238	2.47929
167	Surface 30	27118	9.665	6.11244	-4.6	-579.779	-139.862	-1.27862	13.4098	8.93804	2.44987	-2.83563	2.42807
168	Surface 30	27124	9.665	12.2246	-4.6	-581.163	-140.041	-2.57888	10.8179	8.44013	2.69581	-4.39774	2.46946
169	Surface 30	27135	9.665	18.3371	-4.6	-583.099	-139.796	1.34288	8.13048	7.93096	2.93762	-6.5298	2.38822
170	Surface 31	25897	9.665	18.3371	-9.9	-1.05033E3	-319.91	-2.06722	-9.20284	-45.9025	3.13656	-8.49311	25.0816
171	Surface 31	25909	9.665	20.819	-9.9	-1.05155E3	-319.267	-10.4149	-10.8925	-46.2636	3.13741	-7.17355	25.0549
172	Surface 31	26177	9.665	18.3371	-8.84	-933.529	-283.36	-2.52818	-3.77392	-26.9342	3.07446	-8.00444	19.1041
173	Surface 31	26182	9.665	20.819	-8.84	-934.896	-282.844	-9.32743	-5.53183	-27.3101	3.08319	-6.87446	19.0797
174	Surface 31	26396	9.665	18.3371	-7.78	-840.011	-246.634	-2.37337	0.8173	-10.5726	3.01366	-7.63511	11.8865
175	Surface 31	26403	9.665	20.819	-7.78	-841.512	-246.253	-8.15775	-1.00291	-10.96	3.02697	-6.65509	11.8636
176	Surface 31	26618	9.665	18.3371	-6.72	-755.234	-210.402	-1.50358	3.96253	-0.823315	2.96477	-7.29996	6.63195
177	Surface 31	26622	9.665	20.819	-6.72	-756.803	-210.137	-6.93381	2.08523	-1.21739	2.9785	-6.45348	6.61053
