	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
94	Surface 15	28043	9.665	-166.683	-0.92	-110.539	0.172783	0.722118	-0.903488	1.78056	0.0263735	-0.576948	-2.04485
95	Surface 15	28051	9.665	-172.251	-0.92	-111.07	-0.20866	3.37346	-0.91436	1.75844	0.0662979	-0.215173	-2.02764
96	Surface 15	28265	9.665	-166.683	0.0	-9.3807	10.4564	0.381963	0.179438	0.956199	0.0280261	-0.178982	-1.76437
97	Surface 15	28271	9.665	-172.251	0.0	-12.2614	9.97784	2.56988	0.144789	0.932392	0.0703442	-0.249705	-1.69522
98	Surface 17	27058	9.665	-159.181	-4.6	-477.123	-0.3836	-0.842878	-4.75038	5.2864	0.0151287	0.598651	2.11265
99	Surface 17	27069	9.665	-160.983	-4.6	-477.185	-0.409555	-1.6959	-4.75712	5.28599	-3.90817E-3	-0.517053	2.05969
100	Surface 17	27365	9.665	-159.181	-3.68	-393.102	0.396912	-0.90289	-3.48042	6.40993	0.0132421	0.494662	0.0647044
101	Surface 17	27372	9.665	-160.983	-3.68	-393.147	0.371364	-1.8056	-3.48549	6.40868	-7.03335E-3	-0.424897	8.80945E-3
102	Surface 17	27586	9.665	-159.181	-2.76	-303.248	0.718794	-0.985824	-2.51003	5.65936	0.0151316	0.385837	-1.72496
103	Surface 17	27591	9.665	-160.983	-2.76	-303.354	0.664006	-1.90882	-2.51432	5.65741	-6.48573E-3	-0.32313	-1.78229
104	Surface 17	27807	9.665	-159.181	-1.84	-208.557	0.844335	-1.0748	-1.69488	3.81885	0.0203263	0.266711	-2.30958
105	Surface 17	27813	9.665	-160.983	-1.84	-208.432	0.781198	-2.06301	-1.69675	3.8147	-0.997168E-3	-0.216011	-2.37015
106	Surface 17	28026	9.665	-159.181	-0.92	-110.265	0.565131	-1.19006	-0.897658	1.80237	0.023954	0.147423	-2.10597
107	Surface 17	28031	9.665	-160.983	-0.92	-110.882	0.386364	-2.30051	-0.894974	1.79868	5.63196E-3	-0.0902778	-2.16484
108	Surface 17	28245	9.665	-159.181	0.0	-4.58237	11.3763	-1.31905	0.231913	0.983389	0.0196565	-0.0743742	-1.85689
109	Surface 17	28253	9.665	-160.983	0.0	-3.04638	11.693	-2.82037	0.219673	0.979389	-47.5166E-6	-0.100846	-1.91245
110	Surface 24	27063	9.665	-20.819	-4.6	-477.132	-0.378831	0.856352	-4.76989	5.28224	-0.0175483	-0.591158	2.11127
111	Surface 24	27071	9.665	-19.0166	-4.6	-477.193	-0.405182	1.70987	-4.77444	5.28215	1.09157E-3	0.52471	2.05835
112	Surface 24	27370	9.665	-20.819	-3.68	-393.112	0.399995	0.913019	-3.50147	6.40588	-0.0160125	-0.487287	0.0636388
113	Surface 24	27375	9.665	-19.0166	-3.68	-393.157	0.374225	1.81617	-3.50436	6.4049	3.87689E-3	0.432462	7.75134E-3
114	Surface 24	27589	9.665	-20.819	-2.76	-303.261	0.720479	0.992669	-2.53253	5.65573	-0.0183614	-0.37862	-1.72561
115	Surface 24	27594	9.665	-19.0166	-2.76	-303.365	0.665574	1.91604	-2.53464	5.654	2.876E-3	0.330561	-1.78296
116	Surface 24	27810	9.665	-20.819	-1.84	-208.572	0.844981	1.07845	-1.7187	3.81609	-0.0241844	-0.259703	-2.30966
117	Surface 24	27814	9.665	-19.0166	-1.84	-208.446	0.78178	2.06691	-1.71839	3.81207	-3.2479E-3	0.223255	-2.37028
118	Surface 24	28029	9.665	-20.819	-0.92	-110.281	0.565179	1.19113	-0.922771	1.80084	-0.0277058	-0.140665	-2.10556
119	Surface 24	28036	9.665	-19.0166	-0.92	-110.897	0.386365	2.30168	-0.917883	1.79716	-9.69279E-3	0.0972704	-2.16453
120	Surface 24	28248	9.665	-20.819	0.0	-4.5991	11.3763	1.31895	0.206461	0.982585	-0.0232629	0.0934235	-1.85632
121	Surface 24	28255	9.665	-19.0166	0.0	-3.06263	11.6929	2.82026	0.196404	0.97852	-3.90675E-3	0.120999	-1.91199
122	Surface 26	27090	9.665	-13.3169	-4.6	-476.142	-0.549726	-0.906042	-4.8003	5.28211	-9.61753E-3	2.70906	2.15463
123	Surface 26	27104	9.665	-7.74887	-4.6	-475.447	-0.72077	-3.42937	-4.82019	5.28307	-0.0441035	1.15997	2.15509
124	Surface 26	27388	9.665	-13.3169	-3.68	-392.241	0.17133	-1.00829	-3.52527	6.40573	-7.4211E-3	2.23201	0.105071
125	Surface 26	27394	9.665	-7.74887	-3.68	-391.627	-0.0667441	-3.69153	-3.54132	6.40729	-0.0444418	0.954736	0.101899
126	Surface 26	27606	9.665	-13.3169	-2.76	-302.572	0.367324	-1.11424	-2.55083	5.65197	-8.27311E-3	1.71734	-1.68674
127	Surface 26	27612	9.665	-7.74887	-2.76	-302.102	8.66306E-3	-3.91905	-2.56491	5.65055	-0.047438	0.730134	-1.69604
128	Surface 26	27827	9.665	-13.3169	-1.84	-208.146	0.303809	-1.05627	-1.73525	3.79809	-0.0188054	1.15776	-2.27729
129	Surface 26	27833	9.665	-7.74887	-1.84	-207.915	-0.224218	-4.04588	-1.74877	3.78273	-0.058533	0.489876	-2.2982
130	Surface 26	28046	9.665	-13.3169	-0.92	-110.55	0.172918	-0.720396	-0.917541	1.77953	-0.0314448	0.584561	-2.04472
131	Surface 26	28053	9.665	-7.74887	-0.92	-111.077	-0.208443	-3.37132	-0.919582	1.75783	-0.0721548	0.222928	-2.02773
132	Surface 26	28268	9.665	-13.3169	0.0	-9.39405	10.4562	-0.381751	0.165066	0.955688	-0.0326956	0.20243	-1.76403
133	Surface 26	28272	9.665	-7.74887	0.0	-12.271	9.97763	-2.56944	0.139274	0.932057	-0.0756305	0.275268	-1.69514
134	Surface 27	27104	9.665	-7.74887	-4.6	-475.447	-0.72077	-3.42937	-4.82019	5.28307	-0.0441035	1.15997	2.15509
135	Surface 27	27114	9.665	7.01648E-15	-4.6	-475.291	-0.822607	2.52849	-4.81856	5.2881	0.0405425	-0.37232	2.15943
136	Surface 27	27394	9.665	-7.74887	-3.68	-391.627	-0.0667441	-3.69153	-3.54132	6.40729	-0.0444418	0.954736	0.101899
137	Surface 27	27400	9.665	4.20989E-15	-3.68	-391.487	-0.194598	2.69239	-3.53927	6.41138	0.0441061	-0.304446	0.100731
138	Surface 27	27612	9.665	-7.74887	-2.76	-302.102	8.66306E-3	-3.91905	-2.56491	5.65055	-0.047438	0.730134	-1.69604
139	Surface 27	27619	9.665	1.4033E-15	-2.76	-301.999	-0.103333	2.85513	-2.56412	5.648	0.0466542	-0.233948	-1.70381
140	Surface 27	27833	9.665	-7.74887	-1.84	-207.915	-0.224218	-4.04588	-1.74877	3.78273	-0.058533	0.489876	-2.2982
141	Surface 27	27840	9.665	1.4033E-15	-1.84	-207.974	-0.280065	3.03461	-1.7487	3.76957	0.0477301	-0.161616	-2.30213
142	Surface 27	28053	9.665	-7.74887	-0.92	-111.077	-0.208443	-3.37132	-0.919582	1.75783	-0.0721548	0.222928	-2.02773
143	Surface 27	28060	9.665	4.20989E-15	-0.92	-111.296	-0.227349	2.61114	-0.914033	1.74313	0.0484183	-0.0554103	-2.00983
144	Surface 27	28272	9.665	-7.74887	0.0	-12.271	9.97763	-2.56944	0.139274	0.932057	-0.0756305	0.275268	-1.69514
145	Surface 27	28280	9.665	0.0	0.0	-12.4299	9.98636	1.99923	0.149004	0.921104	0.0467847	-0.144399	-1.66189
146	Surface 30	25876	9.665	7.01648E-15	-9.9	-954.234	-22.1331	3.52973	-20.9946	-45.7251	0.051243	-0.779117	23.4191
