	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
142	Surface 27	28053	9.665	-7.74887	-0.92	-220.625	-27.2394	-2.74448	17.3354	2.81995	-1.05036	1.58	-2.64453
143	Surface 27	28060	9.665	4.20989E-15	-0.92	-220.241	-27.2508	2.51967	18.1464	2.83888	-0.221856	0.0585376	-2.63861
144	Surface 27	28272	9.665	-7.74887	0.0	-127.136	-4.35518	-2.28543	18.4187	1.42686	-0.932077	4.46788	-2.28927
145	Surface 27	28280	9.665	0.0	0.0	-126.743	-4.34946	1.87219	19.2425	1.43266	-0.186261	0.759356	-2.27108
146	Surface 30	25876	9.665	7.01648E-15	-9.9	-1.0498E3	-324.007	4.1087	-7.84952	-45.9152	-0.125951	-0.764994	25.5825
147	Surface 30	25882	9.665	6.11244	-9.9	-1.05007E3	-323.535	-2.32735	-8.04265	-45.9907	0.439529	-1.76971	25.519
148	Surface 30	25889	9.665	12.2246	-9.9	-1.05072E3	-322.61	-5.09689	-8.867	-46.213	1.0005	-3.83963	25.5641
149	Surface 30	25897	9.665	18.3371	-9.9	-1.0516E3	-320.818	0.114546	-9.97177	-46.4851	1.55774	-7.13398	25.3751
150	Surface 30	26164	9.665	7.01648E-15	-8.84	-932.258	-286.774	3.41461	-1.92768	-26.892	-0.159075	-0.652412	19.6787
151	Surface 30	26168	9.665	6.11242	-8.84	-932.627	-286.347	-2.11249	-2.12169	-26.965	0.40934	-1.65566	19.6255
152	Surface 30	26171	9.665	12.2246	-8.84	-933.256	-285.532	-4.67242	-2.99682	-27.1838	0.968143	-3.59234	19.6537
153	Surface 30	26177	9.665	18.3371	-8.84	-934.287	-283.98	-0.795636	-4.16418	-27.4567	1.50788	-6.59632	19.4793
154	Surface 30	26384	9.665	7.01648E-15	-7.78	-838.048	-249.309	2.95245	3.18709	-10.4226	-0.190268	-0.55634	12.5257
155	Surface 30	26387	9.665	6.11241	-7.78	-838.51	-248.94	-1.91842	2.99301	-10.4917	0.383509	-1.57158	12.481
