	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
103	Surface 17	27591	9.665	-160.983	-2.76	-421.119	-80.5572	-1.75544	-3.68138	6.09193	-5.08455E-3	-0.428106	-1.8548
104	Surface 17	27807	9.665	-159.181	-1.84	-327.908	-53.3293	-0.998252	-2.97135	4.12792	0.0194589	0.406939	-2.50199
105	Surface 17	27813	9.665	-160.983	-1.84	-327.807	-53.3869	-1.91719	-2.97604	4.12363	-0.548593E-3	-0.32963	-2.55801
106	Surface 17	28026	9.665	-159.181	-0.92	-230.822	-26.5354	-1.11265	-2.28791	1.94241	0.0223523	0.295273	-2.27701
107	Surface 17	28031	9.665	-160.983	-0.92	-231.415	-26.7006	-2.15091	-2.28825	1.9386	5.07392E-3	-0.21302	-2.33191
108	Surface 17	28245	9.665	-159.181	0.0	-129.152	-2.87109	-1.23649	-1.25813	1.03488	0.018059	0.0896593	-1.98718
109	Surface 17	28253	9.665	-160.983	0.0	-127.725	-2.57094	-2.64506	-1.27259	1.03065	-1.00187E-3	-0.219669	-2.0393
110	Surface 24	27063	9.665	-20.819	-4.6	-590.307	-136.852	0.770422	-5.83003	5.33353	-0.0204053	-0.701589	2.55287
111	Surface 24	27071	9.665	-19.0166	-4.6	-590.38	-136.876	1.53829	-5.83644	5.33305	-3.58135E-3	0.614415	2.50512
112	Surface 24	27370	9.665	-20.819	-3.68	-508.742	-107.895	0.831801	-4.59857	6.77591	-0.0188509	-0.607323	0.279393
113	Surface 24	27375	9.665	-19.0166	-3.68	-508.8	-107.918	1.65387	-4.6033	6.77455	-0.738834E-3	0.53159	0.228578
114	Surface 24	27589	9.665	-20.819	-2.76	-421.024	-80.5046	0.916127	-3.71123	6.08859	-0.0209694	-0.507376	-1.80288
115	Surface 24	27594	9.665	-19.0166	-2.76	-421.138	-80.5551	1.76655	-3.71509	6.08652	-1.43288E-3	0.438878	-1.85547
116	Surface 24	27810	9.665	-20.819	-1.84	-327.932	-53.3285	1.00413	-3.01003	4.12363	-0.0262801	-0.396755	-2.50189
117	Surface 24	27814	9.665	-19.0166	-1.84	-327.828	-53.3862	1.92343	-3.01157	4.11956	-6.82353E-3	0.340212	-2.55796
118	Surface 24	28029	9.665	-20.819	-0.92	-230.847	-26.5355	1.11453	-2.32842	1.94007	-0.028774	-0.2854	-2.27628
119	Surface 24	28036	9.665	-19.0166	-0.92	-231.438	-26.7007	2.15295	-2.32555	1.93628	-0.0119423	0.223286	-2.33131
120	Surface 24	28248	9.665	-20.819	0.0	-129.177	-2.87103	1.23649	-1.29911	1.03366	-0.0240631	-0.059477	-1.98626
121	Surface 24	28255	9.665	-19.0166	0.0	-127.749	-2.57103	2.64505	-1.31038	1.02934	-5.51393E-3	0.251526	-2.03854
122	Surface 26	27090	9.665	-13.3169	-4.6	-589.145	-137.025	-0.813619	-5.87111	5.33083	-0.0126288	3.19235	2.5931
123	Surface 26	27104	9.665	-7.74887	-4.6	-588.329	-137.198	-3.08465	-5.89748	5.33003	-0.0425833	1.36703	2.59422
124	Surface 26	27388	9.665	-13.3169	-3.68	-507.684	-108.119	-0.916828	-4.63278	6.77336	-0.0105749	2.76178	0.318056
125	Surface 26	27394	9.665	-7.74887	-3.68	-506.939	-108.352	-3.36015	-4.65513	6.77313	-0.0433032	1.18164	0.315786
126	Surface 26	27606	9.665	-13.3169	-2.76	-420.138	-80.8431	-1.02478	-3.73948	6.08291	-0.0113944	2.29112	-1.76619
127	Surface 26	27612	9.665	-7.74887	-2.76	-419.529	-81.1871	-3.60902	-3.75945	6.08002	-0.0466458	0.976143	-1.77408
128	Surface 26	27827	9.665	-13.3169	-1.84	-327.299	-53.8406	-0.978303	-3.03583	4.10509	-0.0210887	1.77369	-2.47089
129	Surface 26	27833	9.665	-7.74887	-1.84	-326.92	-54.3405	-3.75804	-3.05471	4.08951	-0.0574178	0.754141	-2.48958
130	Surface 26	28046	9.665	-13.3169	-0.92	-230.876	-26.9062	-0.669716	-2.33337	1.91921	-0.0320449	1.24014	-2.21836
131	Surface 26	28053	9.665	-7.74887	-0.92	-231.212	-27.265	-3.14738	-2.34115	1.89828	-0.0698411	0.505699	-2.2016
132	Surface 26	28268	9.665	-13.3169	0.0	-133.447	-3.73491	-0.355108	-1.34732	1.00811	-0.0320174	0.88685	-1.89891
133	Surface 26	28272	9.665	-7.74887	0.0	-135.987	-4.18205	-2.4038	-1.37708	0.98572	-0.0724621	0.560104	-1.83352
134	Surface 27	27104	9.665	-7.74887	-4.6	-588.329	-137.198	-3.08465	-5.89748	5.33003	-0.0425833	1.36703	2.59422
135	Surface 27	27114	9.665	7.01648E-15	-4.6	-588.148	-137.298	2.27779	-5.89631	5.33462	0.0354209	-0.439555	2.59842
136	Surface 27	27394	9.665	-7.74887	-3.68	-506.939	-108.352	-3.36015	-4.65513	6.77313	-0.0433032	1.18164	0.315786
137	Surface 27	27400	9.665	4.20989E-15	-3.68	-506.773	-108.476	2.45247	-4.65333	6.77675	0.0389481	-0.378117	0.314792
138	Surface 27	27612	9.665	-7.74887	-2.76	-419.529	-81.1871	-3.60902	-3.75945	6.08002	-0.0466458	0.976143	-1.77408
139	Surface 27	27619	9.665	1.4033E-15	-2.76	-419.398	-81.2949	2.63055	-3.75857	6.07737	0.0414784	-0.313632	-1.78118
140	Surface 27	27833	9.665	-7.74887	-1.84	-326.92	-54.3405	-3.75804	-3.05471	4.08951	-0.0574178	0.754141	-2.48958
141	Surface 27	27840	9.665	1.4033E-15	-1.84	-326.941	-54.3949	2.82001	-3.05428	4.07696	0.0424226	-0.246886	-2.49306
142	Surface 27	28053	9.665	-7.74887	-0.92	-231.212	-27.265	-3.14738	-2.34115	1.89828	-0.0698411	0.505699	-2.2016
143	Surface 27	28060	9.665	4.20989E-15	-0.92	-231.385	-27.2838	2.43821	-2.33543	1.8844	0.0432735	-0.147968	-2.18462
144	Surface 27	28272	9.665	-7.74887	0.0	-135.987	-4.18205	-2.4038	-1.37708	0.98572	-0.0724621	0.560104	-1.83352
