	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
1	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
141	Line 25164	3773	9.665	155.788	-65.7	-78.9525	156.682	103.789	0.0	-19.8835	0.197743E-3
142	Line 25167	3836	8.9	149.628	-65.7	-97.8576	178.73	173.578	0.0	-10.5527	0.101647E-3
143	Line 25167	3799	8.9	151.879	-65.7	-92.4668	170.805	141.823	0.0	-16.439	0.313695E-3
144	Line 25167	3876	9.665	149.628	-65.7	-97.8576	178.73	173.578	0.0	-10.5527	0.101647E-3
145	Line 25167	3849	9.665	151.879	-65.7	-92.4668	170.805	141.823	0.0	-16.439	0.313695E-3
146	Line 25168	3799	8.9	151.879	-65.7	-92.4668	170.805	141.823	0.0	-16.439	0.313695E-3
147	Line 25168	3783	8.9	153.466	-65.7	-95.0181	179.75	134.046	0.0	-25.0108	0.184253E-3
148	Line 25168	3849	9.665	151.879	-65.7	-92.4668	170.805	141.823	0.0	-16.439	0.313695E-3
149	Line 25168	3815	9.665	153.466	-65.7	-95.0181	179.75	134.046	0.0	-25.0108	0.184253E-3
150	Line 25169	3734	8.9	155.788	-65.7	-78.9525	156.682	103.789	0.0	-19.8835	0.197743E-3
151	Line 25169	3720	8.9	156.815	-65.7	-78.365	158.307	92.1908	0.0	-13.8976	-45.1912E-6
152	Line 25169	3773	9.665	155.788	-65.7	-78.9525	156.682	103.789	0.0	-19.8835	0.197743E-3
153	Line 25169	3756	9.665	156.815	-65.7	-78.365	158.307	92.1908	0.0	-13.8976	-45.1912E-6
154	Line 25170	3720	8.9	156.815	-65.7	-78.365	158.307	92.1908	0.0	-13.8976	-45.1912E-6
155	Line 25170	3685	8.9	159.181	-65.7	-106.73	220.446	77.786	0.0	-54.2096	0.551364E-3
156	Line 25170	3756	9.665	156.815	-65.7	-78.365	158.307	92.1908	0.0	-13.8976	-45.1912E-6
157	Line 25170	3707	9.665	159.181	-65.7	-106.73	220.446	77.786	0.0	-54.2096	0.551364E-3
158	Line 25171	3685	8.9	159.181	-65.7	-106.73	220.446	77.786	0.0	-54.2096	0.551364E-3
159	Line 25171	3646	8.9	161.663	-65.7	-175.825	363.592	-138.441	0.0	-26.4563	-0.184025E-3
160	Line 25171	3707	9.665	159.181	-65.7	-106.73	220.446	77.786	0.0	-54.2096	0.551364E-3
161	Line 25171	3668	9.665	161.663	-65.7	-175.825	363.592	-138.441	0.0	-26.4563	-0.184025E-3
162	Line 25206	2993	8.9	-62.318	-65.7	-28.1949	-50.1319	288.678	0.0	109.696	74.165E-6
163	Line 25206	2953	9.665	-62.318	-65.7	-28.1949	-50.1319	288.678	0.0	109.696	74.165E-6
164	Line 25206	3017	8.9	-56.769	-65.7	-61.5828	-92.5272	609.681	0.0	212.85	1.74559E-3
165	Line 25206	2984	9.665	-56.769	-65.7	-61.5828	-92.5272	609.681	0.0	212.85	1.74559E-3
166	Line 25206	3037	8.9	-51.2201	-65.7	-12.6593	-98.7065	591.039	0.0	226.496	1.55827E-3
167	Line 25206	3066	8.9	-45.6711	-65.7	69.2074	-75.5715	623.093	0.0	189.087	-1.09746E-3
168	Line 25206	3013	9.665	-51.2201	-65.7	-12.6593	-98.7065	591.039	0.0	226.496	1.55827E-3
169	Line 25206	3042	9.665	-45.6711	-65.7	69.2074	-75.5715	623.093	0.0	189.087	-1.09746E-3
170	Line 25206	3112	8.9	-40.1221	-65.7	4.90816	48.4359	281.956	0.0	27.0827	-0.233286E-3
171	Line 25206	3079	9.665	-40.1221	-65.7	4.90816	48.4359	281.956	0.0	27.0827	-0.233286E-3
172	Line 25207	3112	8.9	-40.1221	-65.7	4.90816	48.4359	281.956	0.0	27.0827	-0.233286E-3
173	Line 25207	3079	9.665	-40.1221	-65.7	4.90816	48.4359	281.956	0.0	27.0827	-0.233286E-3
174	Line 25207	3131	8.9	-37.9822	-65.7	-58.806	139.944	327.828	0.0	59.9314	43.5125E-6
175	Line 25207	3102	9.665	-37.9822	-65.7	-58.806	139.944	327.828	0.0	59.9314	43.5125E-6
176	Line 25208	3942	8.9	40.1221	-65.7	-45.344	-102.91	270.909	0.0	5.54964	98.0087E-6
177	Line 25208	3979	9.665	40.1221	-65.7	-45.344	-102.91	270.909	0.0	5.54964	98.0087E-6
178	Line 25208	3987	8.9	45.6711	-65.7	-10.0608	-115.181	523.774	0.0	102.168	-0.92503E-3
179	Line 25208	4012	9.665	45.6711	-65.7	-10.0608	-115.181	523.774	0.0	102.168	-0.92503E-3
180	Line 25208	4015	8.9	51.2201	-65.7	-14.0217	-125.141	444.887	0.0	97.8637	-1.11497E-3
181	Line 25208	4042	9.665	51.2201	-65.7	-14.0217	-125.141	444.887	0.0	97.8637	-1.11497E-3
182	Line 25208	4059	8.9	62.318	-65.7	24.6298	-80.8891	136.33	0.0	45.6064	88.9517E-6
183	Line 25208	4038	8.9	56.769	-65.7	-3.72262	-145.848	402.622	0.0	48.7758	-7.71669E-3
184	Line 25208	4071	9.665	56.769	-65.7	-3.72262	-145.848	402.622	0.0	48.7758	-7.71669E-3
185	Line 25208	4104	9.665	62.318	-65.7	24.6298	-80.8891	136.33	0.0	45.6064	88.9517E-6
186	Line 25209	3942	8.9	40.1221	-65.7	-45.344	-102.91	270.909	0.0	5.54964	98.0087E-6
187	Line 25209	3927	8.9	37.9822	-65.7	-121.203	-193.879	356.445	0.0	45.4151	-1.58157E-3
188	Line 25209	3960	9.665	37.9822	-65.7	-121.203	-193.879	356.445	0.0	45.4151	-1.58157E-3
189	Line 25209	3979	9.665	40.1221	-65.7	-45.344	-102.91	270.909	0.0	5.54964	98.0087E-6
190	Line 25210	3111	8.9	-139.878	-65.7	-35.7178	-41.6901	319.764	0.0	25.2888	0.281569E-3
191	Line 25210	3075	9.665	-139.878	-65.7	-35.7178	-41.6901	319.764	0.0	25.2888	0.281569E-3
192	Line 25210	3064	8.9	-134.329	-65.7	-3.54957	96.2245	714.202	0.0	170.335	-0.426173E-3
193	Line 25210	3040	9.665	-134.329	-65.7	-3.54957	96.2245	714.202	0.0	170.335	-0.426173E-3
194	Line 25210	3016	8.9	-123.231	-65.7	-40.9517	99.9811	705.177	0.0	118.871	-2.08824E-3
195	Line 25210	3036	8.9	-128.78	-65.7	-3.9301	120.05	698.185	0.0	138.663	-1.03948E-3
196	Line 25210	3010	9.665	-128.78	-65.7	-3.9301	120.05	698.185	0.0	138.663	-1.03948E-3
197	Line 25210	2992	8.9	-117.682	-65.7	-30.5802	43.6811	323.651	0.0	74.0528	-25.1677E-6
198	Line 25210	2981	9.665	-123.231	-65.7	-40.9517	99.9811	705.177	0.0	118.871	-2.08824E-3
199	Line 25210	2947	9.665	-117.682	-65.7	-30.5802	43.6811	323.651	0.0	74.0528	-25.1677E-6
