	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
132	Surface 26	28268	9.665	-13.3169	0.0	-130.404	-3.83699	-0.334707	7.30165	1.19602	-0.493757	3.22573	-2.09848
133	Surface 26	28272	9.665	-7.74887	0.0	-132.679	-4.28404	-2.36682	7.91579	1.18137	-0.322738	1.83039	-2.05186
134	Surface 27	27104	9.665	-7.74887	-4.6	-584.391	-138.39	-2.30029	2.48652	6.80779	-0.269908	1.81	2.72169
135	Surface 27	27114	9.665	7.01648E-15	-4.6	-584.086	-138.555	2.35496	2.76961	6.85891	0.0726007	-0.390468	2.72855
136	Surface 27	27394	9.665	-7.74887	-3.68	-502.649	-109.016	-2.74009	3.95172	8.12765	-0.283586	1.6271	0.370991
137	Surface 27	27400	9.665	4.20989E-15	-3.68	-502.347	-109.177	2.5181	4.24074	8.17178	0.0739294	-0.329878	0.370109
138	Surface 27	27612	9.665	-7.74887	-2.76	-414.927	-81.4755	-3.16166	5.06353	7.22499	-0.308385	1.42051	-1.81927
139	Surface 27	27619	9.665	1.4033E-15	-2.76	-414.649	-81.6018	2.67938	5.35694	7.25416	0.0737004	-0.266117	-1.82956
140	Surface 27	27833	9.665	-7.74887	-1.84	-322.18	-54.3924	-3.48606	5.97791	4.90481	-0.352069	1.19283	-2.65672
141	Surface 27	27840	9.665	1.4033E-15	-1.84	-322.048	-54.4532	2.84381	6.27607	4.91205	0.0706618	-0.199759	-2.66681
142	Surface 27	28053	9.665	-7.74887	-0.92	-226.749	-27.2127	-3.03124	6.91235	2.3124	-0.342524	0.940695	-2.42648
